inventory_id,film_id,store_id,last_update
1,1.0,1.0,2006-02-15 10:09:17
2,1.0,1.0,2006-02-15 10:09:17
3,1.0,1.0,2006-02-15 10:09:17
4,1.0,1.0,2006-02-15 10:09:17
5,1.0,2.0,2006-02-15 10:09:17
6,1.0,2.0,2006-02-15 10:09:17
7,1.0,2.0,2006-02-15 10:09:17
8,1.0,2.0,2006-02-15 10:09:17
9,2.0,2.0,2006-02-15 10:09:17
10,2.0,2.0,2006-02-15 10:09:17
11,2.0,2.0,2006-02-15 10:09:17
12,3.0,2.0,2006-02-15 10:09:17
13,3.0,2.0,2006-02-15 10:09:17
14,3.0,2.0,2006-02-15 10:09:17
15,3.0,2.0,2006-02-15 10:09:17
16,4.0,1.0,2006-02-15 10:09:17
17,4.0,1.0,2006-02-15 10:09:17
18,4.0,1.0,2006-02-15 10:09:17
19,4.0,1.0,2006-02-15 10:09:17
20,4.0,2.0,2006-02-15 10:09:17
21,4.0,2.0,2006-02-15 10:09:17
22,4.0,2.0,2006-02-15 10:09:17
23,5.0,2.0,2006-02-15 10:09:17
24,5.0,2.0,2006-02-15 10:09:17
25,5.0,2.0,2006-02-15 10:09:17
26,6.0,1.0,2006-02-15 10:09:17
27,6.0,1.0,2006-02-15 10:09:17
28,6.0,1.0,2006-02-15 10:09:17
29,6.0,2.0,2006-02-15 10:09:17
30,6.0,2.0,2006-02-15 10:09:17
31,6.0,2.0,2006-02-15 10:09:17
32,7.0,1.0,2006-02-15 10:09:17
33,7.0,1.0,2006-02-15 10:09:17
34,7.0,2.0,2006-02-15 10:09:17
35,7.0,2.0,2006-02-15 10:09:17
36,7.0,2.0,2006-02-15 10:09:17
37,8.0,2.0,2006-02-15 10:09:17
38,8.0,2.0,2006-02-15 10:09:17
39,8.0,2.0,2006-02-15 10:09:17
40,8.0,2.0,2006-02-15 10:09:17
41,9.0,1.0,2006-02-15 10:09:17
42,9.0,1.0,2006-02-15 10:09:17
43,9.0,1.0,2006-02-15 10:09:17
44,9.0,2.0,2006-02-15 10:09:17
45,9.0,2.0,2006-02-15 10:09:17
46,10.0,1.0,2006-02-15 10:09:17
47,10.0,1.0,2006-02-15 10:09:17
48,10.0,1.0,2006-02-15 10:09:17
49,10.0,1.0,2006-02-15 10:09:17
50,10.0,2.0,2006-02-15 10:09:17
51,10.0,2.0,2006-02-15 10:09:17
52,10.0,2.0,2006-02-15 10:09:17
53,11.0,1.0,2006-02-15 10:09:17
54,11.0,1.0,2006-02-15 10:09:17
55,11.0,1.0,2006-02-15 10:09:17
56,11.0,1.0,2006-02-15 10:09:17
57,11.0,2.0,2006-02-15 10:09:17
58,11.0,2.0,2006-02-15 10:09:17
59,11.0,2.0,2006-02-15 10:09:17
60,12.0,1.0,2006-02-15 10:09:17
61,12.0,1.0,2006-02-15 10:09:17
62,12.0,1.0,2006-02-15 10:09:17
63,12.0,2.0,2006-02-15 10:09:17
64,12.0,2.0,2006-02-15 10:09:17
