city_id,city,country_id,last_update
1,A Corua (La Corua),87.0,2006-02-15 09:45:25
2,Abha,82.0,2006-02-15 09:45:25
3,Abu Dhabi,101.0,2006-02-15 09:45:25
4,Acua,60.0,2006-02-15 09:45:25
5,Adana,97.0,2006-02-15 09:45:25
6,Addis Abeba,31.0,2006-02-15 09:45:25
7,Aden,107.0,2006-02-15 09:45:25
8,Adoni,44.0,2006-02-15 09:45:25
9,Ahmadnagar,44.0,2006-02-15 09:45:25
10,Akishima,50.0,2006-02-15 09:45:25
11,Akron,103.0,2006-02-15 09:45:25
12,al-Ayn,101.0,2006-02-15 09:45:25
13,al-Hawiya,82.0,2006-02-15 09:45:25
14,al-Manama,11.0,2006-02-15 09:45:25
15,al-Qadarif,89.0,2006-02-15 09:45:25
16,al-Qatif,82.0,2006-02-15 09:45:25
17,Alessandria,49.0,2006-02-15 09:45:25
18,Allappuzha (Alleppey),44.0,2006-02-15 09:45:25
19,Allende,60.0,2006-02-15 09:45:25
20,Almirante Brown,6.0,2006-02-15 09:45:25
21,Alvorada,15.0,2006-02-15 09:45:25
22,Ambattur,44.0,2006-02-15 09:45:25
23,Amersfoort,67.0,2006-02-15 09:45:25
24,Amroha,44.0,2006-02-15 09:45:25
25,Angra dos Reis,15.0,2006-02-15 09:45:25
26,Anpolis,15.0,2006-02-15 09:45:25
27,Antofagasta,22.0,2006-02-15 09:45:25
28,Aparecida de Goinia,15.0,2006-02-15 09:45:25
29,Apeldoorn,67.0,2006-02-15 09:45:25
30,Araatuba,15.0,2006-02-15 09:45:25
31,Arak,46.0,2006-02-15 09:45:25
32,Arecibo,77.0,2006-02-15 09:45:25
33,Arlington,103.0,2006-02-15 09:45:25
34,Ashdod,48.0,2006-02-15 09:45:25
35,Ashgabat,98.0,2006-02-15 09:45:25
36,Ashqelon,48.0,2006-02-15 09:45:25
37,Asuncin,73.0,2006-02-15 09:45:25
38,Athenai,39.0,2006-02-15 09:45:25
39,Atinsk,80.0,2006-02-15 09:45:25
40,Atlixco,60.0,2006-02-15 09:45:25
41,Augusta-Richmond County,103.0,2006-02-15 09:45:25
42,Aurora,103.0,2006-02-15 09:45:25
43,Avellaneda,6.0,2006-02-15 09:45:25
44,Bag,15.0,2006-02-15 09:45:25
45,Baha Blanca,6.0,2006-02-15 09:45:25
46,Baicheng,23.0,2006-02-15 09:45:25
47,Baiyin,23.0,2006-02-15 09:45:25
48,Baku,10.0,2006-02-15 09:45:25
49,Balaiha,80.0,2006-02-15 09:45:25
50,Balikesir,97.0,2006-02-15 09:45:25
51,Balurghat,44.0,2006-02-15 09:45:25
52,Bamenda,19.0,2006-02-15 09:45:25
53,Bandar Seri Begawan,16.0,2006-02-15 09:45:25
54,Banjul,37.0,2006-02-15 09:45:25
55,Barcelona,104.0,2006-02-15 09:45:25
56,Basel,91.0,2006-02-15 09:45:25
57,Bat Yam,48.0,2006-02-15 09:45:25
58,Batman,97.0,2006-02-15 09:45:25
59,Batna,2.0,2006-02-15 09:45:25
60,Battambang,18.0,2006-02-15 09:45:25
61,Baybay,75.0,2006-02-15 09:45:25
